model_name,organization,release_date,source_url,report_path,notes,AI2D (test),AI2D (test)__setting,AMC 10,AMC 10__setting,AMC 12,AMC 12__setting,AP Art History,AP Art History__setting,AP Biology,AP Biology__setting,AP Calculus BC,AP Calculus BC__setting,AP Chemistry,AP Chemistry__setting,AP English Language and Composition,AP English Language and Composition__setting,AP English Literature and Composition,AP English Literature and Composition__setting,AP Environmental Science,AP Environmental Science__setting,AP Macroeconomics,AP Macroeconomics__setting,AP Microeconomics,AP Microeconomics__setting,AP Physics 2,AP Physics 2__setting,AP Psychology,AP Psychology__setting,AP Statistics,AP Statistics__setting,AP US Government,AP US Government__setting,AP US History,AP US History__setting,AP World History,AP World History__setting,ARC-Challenge,ARC-Challenge__setting,Advanced Sommelier (theory knowledge),Advanced Sommelier (theory knowledge)__setting,BIG-Bench Hard,BIG-Bench Hard__setting,Bar Exam (MBE multiple-choice),Bar Exam (MBE multiple-choice)__setting,CSQA,CSQA__setting,Certified Sommelier (theory knowledge),Certified Sommelier (theory knowledge)__setting,"ChartQA (relaxed accuracy, test)","ChartQA (relaxed accuracy, test)__setting",Codeforces Rating,Codeforces Rating__setting,DROP,DROP__setting,"Document Visual QA (ANLS, test)","Document Visual QA (ANLS, test)__setting",GPQA,GPQA__setting,GPQA (Diamond),GPQA (Diamond)__setting,GRE Quantitative,GRE Quantitative__setting,GRE Reading & Writing,GRE Reading & Writing__setting,GRE Verbal,GRE Verbal__setting,GRE Writing,GRE Writing__setting,GSM8K,GSM8K__setting,HellaSwag,HellaSwag__setting,HumanEval,HumanEval__setting,HumanEval+,HumanEval+__setting,Introductory Sommelier (theory knowledge),Introductory Sommelier (theory knowledge)__setting,LSAT,LSAT__setting,LeetCode (easy),LeetCode (easy)__setting,LeetCode (hard),LeetCode (hard)__setting,LeetCode (medium),LeetCode (medium)__setting,MATH,MATH__setting,MBPP,MBPP__setting,MBPP+,MBPP+__setting,MGSM,MGSM__setting,MMLU,MMLU__setting,MMLU-Pro,MMLU-Pro__setting,MMLU-redux,MMLU-redux__setting,MMLU-stem,MMLU-stem__setting,MMMU,MMMU__setting,MMMU (val),MMMU (val)__setting,MathVista (testmini),MathVista (testmini)__setting,Medical Knowledge Self-Assessment Program,Medical Knowledge Self-Assessment Program__setting,Multi-Exam,Multi-Exam__setting,Multi-Mathematics,Multi-Mathematics__setting,Multi-Translation,Multi-Translation__setting,Multi-Understanding,Multi-Understanding__setting,MultiChallenge (Scale),MultiChallenge (Scale)__setting,MultiPL-E,MultiPL-E__setting,Natural Questions,Natural Questions__setting,SAT Evidence-Based Reading & Writing,SAT Evidence-Based Reading & Writing__setting,SAT Math,SAT Math__setting,SWE-bench Verified,SWE-bench Verified__setting,StrategyQA,StrategyQA__setting,TheoremQA,TheoremQA__setting,TriviaQA,TriviaQA__setting,TruthfulQA,TruthfulQA__setting,USABO Semifinal Exam 2020,USABO Semifinal Exam 2020__setting,USNCO Local Section Exam 2022,USNCO Local Section Exam 2022__setting,Uniform Bar Exam (MBE+MEE+MPT),Uniform Bar Exam (MBE+MEE+MPT)__setting,"Video-MME (long, no subtitles)","Video-MME (long, no subtitles)__setting",WinoGrande,WinoGrande__setting,XCOPA,XCOPA__setting,Needle In A Haystack (1M tokens),Needle In A Haystack (1M tokens)__setting,C-Eval,C-Eval__setting,CMMLU,CMMLU__setting,IFEval,IFEval__setting,Codeforces,Codeforces__setting,IMO Qualifying Exam,IMO Qualifying Exam__setting,MathVista,MathVista__setting,AIME (unspecified),AIME (unspecified)__setting,AIME '24,AIME '24__setting,AIME 2025,AIME 2025__setting,MMMLU,MMMLU__setting,SWE-Lancer Diamond,SWE-Lancer Diamond__setting,Aider Polyglot,Aider Polyglot__setting,HealthBench Hard,HealthBench Hard__setting,SimpleQA,SimpleQA__setting,C-SimpleQA,C-SimpleQA__setting,Arena-Hard,Arena-Hard__setting,Terminal-bench,Terminal-bench__setting,OSWorld,OSWorld__setting,SuperGPQA,SuperGPQA__setting,EvalPlus,EvalPlus__setting,CRUX-O,CRUX-O__setting,INCLUDE,INCLUDE__setting,CRUX-I,CRUX-I__setting,CMATH,CMATH__setting,LiveCodeBench,LiveCodeBench__setting,BFCL v3,BFCL v3__setting,TAU-Bench,TAU-Bench__setting,MATH 500,MATH 500__setting,Tau2-Bench,Tau2-Bench__setting,ACEBench (En),ACEBench (En)__setting,SWE-Bench Multilingual,SWE-Bench Multilingual__setting,OJBench,OJBench__setting,Beyond AIME,Beyond AIME__setting,Codeforces avg@8,Codeforces avg@8__setting,Codeforces pass@8,Codeforces pass@8__setting,ARC-AGI,ARC-AGI__setting,Collie,Collie__setting,HLE,HLE__setting,HLE (w/ Tools),HLE (w/ Tools)__setting,HMMT Feb. 2025,HMMT Feb. 2025__setting,HMMT Nov. 2025,HMMT Nov. 2025__setting,IMOAnswerBench,IMOAnswerBench__setting,LiveCodeBench-v6,LiveCodeBench-v6__setting,Terminal Bench Hard,Terminal Bench Hard__setting,Terminal Bench 2.0,Terminal Bench 2.0__setting,BrowseComp,BrowseComp__setting,BrowseComp (w/ Context Manage),BrowseComp (w/ Context Manage)__setting,BrowseComp-ZH,BrowseComp-ZH__setting,LMArena Leaderboard,LMArena Leaderboard__setting,WebDev Arena,WebDev Arena__setting,MathArena Apex,MathArena Apex__setting,MMMU-Pro,MMMU-Pro__setting,Video-MMMU,Video-MMMU__setting,SimpleQA Verified,SimpleQA Verified__setting,SWE-bench Multilingual,SWE-bench Multilingual__setting
GPT-3.5 (ChatGPT),OpenAI,2022-11-30,https://openai.com/blog/chatgpt,reports/combined_report.md,No benchmark scores reported in the release post.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4,OpenAI,2023-03-14,https://ar5iv.labs.arxiv.org/html/2303.08774,reports/combined_report.md,,,,30/150 (6th-12th percentile) (reported score),Exam simulation (per GPT-4 technical report),60/150 (45th-66th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (86th-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (85th-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),4 (43rd-59th percentile) (reported score),Exam simulation (per GPT-4 technical report),4 (71st-88th percentile) (reported score),Exam simulation (per GPT-4 technical report),2 (14th-44th percentile) (reported score),Exam simulation (per GPT-4 technical report),2 (8th-22nd percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (91st-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (84th-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (82nd-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),4 (66th-84th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (83rd-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (85th-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (88th-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),5 (89th-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),4 (65th-87th percentile) (reported score),Exam simulation (per GPT-4 technical report),,,77% (reported score),Exam simulation (per GPT-4 technical report),,,,,,,86% (reported score),Exam simulation (per GPT-4 technical report),,,392 (below 5th percentile) (reported score),Exam simulation (per GPT-4 technical report),,,,,,,,,163/170 (~80th percentile) (reported score),Exam simulation (per GPT-4 technical report),,,169/170 (~99th percentile) (reported score),Exam simulation (per GPT-4 technical report),4/6 (~54th percentile) (reported score),Exam simulation (per GPT-4 technical report),,,,,,,,,92% (reported score),Exam simulation (per GPT-4 technical report),163 (~88th percentile) (reported score),Exam simulation (per GPT-4 technical report),31/41 (reported score),Exam simulation (per GPT-4 technical report),3/45 (reported score),Exam simulation (per GPT-4 technical report),21/80 (reported score),Exam simulation (per GPT-4 technical report),,,,,,,,,,,,,,,,,,,,,,,75% (reported score),Exam simulation (per GPT-4 technical report),,,,,,,,,,,,,,,710/800 (~93rd percentile) (reported score),Exam simulation (per GPT-4 technical report),700/800 (~89th percentile) (reported score),Exam simulation (per GPT-4 technical report),,,,,,,,,,,87/150 (99th-100th percentile) (reported score),Exam simulation (per GPT-4 technical report),36/60 (85th-95th percentile) (reported score),Exam simulation (per GPT-4 technical report),298/400 (~90th percentile) (reported score),Exam simulation (per GPT-4 technical report),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaLM 2-L,Google,2023-05-10,https://ai.google/static/documents/palm2techreport.pdf,reports/combined_report.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1 (accuracy),4-shot CoT+SC,,,78.1 (accuracy),3-shot CoT,,,90.4 (accuracy),7-shot,,,,,,,85.0 (F1),3-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4 (accuracy),6-shot,,,,,,,,,,,,,,,90.9 (accuracy),5-shot,94.4 (accuracy),4-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude 2,Anthropic,2023-07-11,https://www.anthropic.com/news/claude-2,reports/combined_report.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5% (accuracy),multiple-choice section,,,,,,,,,,,,,,,,,,,above 90th percentile (percentile),standardized exam,,,,,88.0% (accuracy),grade school math,,,71.2% (pass@1),code generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4 Turbo,OpenAI,2023-11-06,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,reports/combined_report.md,No benchmark scores reported in the release post.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude 2.1,Anthropic,2023-11-21,https://www.anthropic.com/news/claude-2-1,reports/combined_report.md,No benchmark scores reported in the release post.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini 1.0 Ultra,Google DeepMind,2023-12-06,https://blog.google/intl/en-africa/company-news/technology/introducing-gemini-our-largest-and-most-capable-ai-model/,reports/combined_report.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0 (accuracy),Gemini MMLU (reasoning) per blog,,,,,,,59.4 (accuracy),MMMU benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM-4 (flagship),Zhipu AI,2024-01-17,https://www.glm-4.com/,reports/combined_report.md,Official benchmark scores not found in source; left blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini 1.5 Pro,Google,2024-02-15,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/,reports/combined_report.md,Release post focuses on long-context evaluations; limited benchmark scores reported.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,NIAH; 1M tokens; accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral Large,Mistral AI,2024-02-26,https://mistral.ai/fr/news/mistral-large,reports/combined_report.md,Scores extracted from benchmark figures in release post.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,5-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.21,"maj@8, 8-shot",89.2,10-shot,45.1,pass@1 (not disclosed),,,,,,,,,,,,,45.0,maj@4,73.1,pass@1 (not disclosed),,,,,81.2,not disclosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,5-shot,50.5,not disclosed,,,,,,,,,86.7,5-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
