model_name,organization,release_date,source_url,report_path,notes,ARC-Challenge,ARC-Challenge__setting,BIG-Bench Hard,BIG-Bench Hard__setting,CSQA,CSQA__setting,DROP,DROP__setting,GPQA,GPQA__setting,GPQA (Diamond),GPQA (Diamond)__setting,GSM8K,GSM8K__setting,HellaSwag,HellaSwag__setting,HumanEval,HumanEval__setting,HumanEval+,HumanEval+__setting,MATH,MATH__setting,MBPP,MBPP__setting,MBPP+,MBPP+__setting,MGSM,MGSM__setting,MMLU,MMLU__setting,MMLU-Pro,MMLU-Pro__setting,MMLU-redux,MMLU-redux__setting,MMLU-stem,MMLU-stem__setting,Multi-Exam,Multi-Exam__setting,Multi-Mathematics,Multi-Mathematics__setting,Multi-Translation,Multi-Translation__setting,Multi-Understanding,Multi-Understanding__setting,MultiPL-E,MultiPL-E__setting,Natural Questions,Natural Questions__setting,TheoremQA,TheoremQA__setting,TriviaQA,TriviaQA__setting,TruthfulQA,TruthfulQA__setting,WinoGrande,WinoGrande__setting,C-Eval,C-Eval__setting,CMMLU,CMMLU__setting,IFEval,IFEval__setting
StableLM-Alpha 3B,Stability AI,2023-04-20,https://github.com/Stability-AI/StableLM,open reports/combined_report.md,Open weights; 3B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StableLM-Alpha 7B,Stability AI,2023-04-20,https://github.com/Stability-AI/StableLM,open reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPT-7B,MosaicML,2023-05-05,https://www.businesswire.com/news/home/20230622195151/en/MosaicML-Releases-Open-Source-MPT-30B-LLMs-Trained-on-H100s-to-Power-Generative-AI-Applications,open reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedPajama-INCITE 3B,Together,2023-05-05,https://www.together.ai/blog/redpajama-models-v1,open reports/combined_report.md,Open weights; 3B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon 40B,Technology Innovation Institute,2023-05-25,https://www.tii.ae/news/uaes-technology-innovation-institute-launches-open-source-falcon-40b-large-language-model,open reports/combined_report.md,Open weights; 40B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedPajama-INCITE 7B,Together,2023-06-06,https://www.together.ai/blog/redpajama-7b,open reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPT-30B,MosaicML,2023-06-22,https://www.businesswire.com/news/home/20230622195151/en/MosaicML-Releases-Open-Source-MPT-30B-LLMs-Trained-on-H100s-to-Power-Generative-AI-Applications,open reports/combined_report.md,Open weights; 30B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama 2 13B,Meta,2023-07-18,https://about.fb.com/news/2023/07/llama-2/,open reports/combined_report.md,Open weights; 13B parameters. Benchmarks from Meta Llama 3 model card (base pretrained models table).,67.6,25-shot,47.0,3-shot CoT,,,49.8,3-shot (F1),,,,,,,,,,,,,,,,,,,,,53.8,5-shot,,,,,,,,,,,,,,,,,,,,,79.6,5-shot (Wiki),,,75.4,5-shot,,,,,,
Llama 2 70B,Meta,2023-07-18,https://about.fb.com/news/2023/07/llama-2/,open reports/combined_report.md,Open weights; 70B parameters. Benchmarks from Meta Llama 3 model card (base pretrained models table).,85.3,25-shot,65.7,3-shot CoT,,,70.2,3-shot (F1),,,,,56.8 (accuracy),8-shot,,,29.9 (pass@1),0-shot,,,,,,,,,,,69.7,5-shot,,,,,,,,,,,,,,,,,33.0 (accuracy),1-shot,,,87.5,5-shot (Wiki),,,81.8,5-shot,,,,,,
Llama 2 7B,Meta,2023-07-18,https://about.fb.com/news/2023/07/llama-2/,open reports/combined_report.md,Open weights; 7B parameters. Benchmarks from Meta Llama 3 model card (base pretrained models table).,53.7,25-shot,38.1,3-shot CoT,,,37.9,3-shot (F1),,,,,,,,,,,,,,,,,,,,,45.7,5-shot,,,,,,,,,,,,,,,,,,,,,72.1,5-shot (Wiki),,,73.3,5-shot,,,,,,
Qwen 7B,Alibaba,2023-08-03,https://qwenlm.github.io/blog/qwen/,open reports/combined_report.md,Open weights; 7B parameters.,,,45.0 (reported score),3-shot,,,,,,,,,51.7 (reported score),8-shot,,,29.9 (reported score),0-shot,,,11.6 (reported score),4-shot,31.6 (reported score),3-shot,,,,,58.2 (reported score),5-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Llama 13B,Meta,2023-08-24,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/,open reports/combined_report.md,"Open weights; 13B parameters. Benchmarks from Code Llama paper (arXiv 2308.12950v3), Table 2.",,,,,,,,,,,,,,,,,36.0,"0-shot, pass@1 (greedy)",,,,,47.0,"3-shot, pass@1 (greedy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
